BeaufortForce,PictureName,WaveHeight(m),WindSpeed(m/s)
4,41001_2016_03_14_0510.jpg,1.06,6.0
4,41001_2016_03_14_0610.jpg,1.02,7.5
4,41001_2016_03_14_0710.jpg,1.16,8.1
4,41001_2016_03_14_0810.jpg,1.33,8.1
5,41001_2016_03_14_0910.jpg,1.33,9.8
4,41001_2016_03_14_1010.jpg,1.45,7.7
4,41001_2016_03_14_1110.jpg,1.52,8.5
5,41001_2016_03_14_1210.jpg,1.61,9.7
4,41001_2016_03_14_1310.jpg,0.68,6.2
5,41001_2016_03_14_1410.jpg,1.69,9.3
5,41001_2016_03_14_1510.jpg,1.61,9.7
4,41001_2016_03_14_1610.jpg,1.61,8.4
5,41001_2016_03_14_1700.jpg,1.94,9.8
5,41001_2016_03_14_1810.jpg,1.69,9.6
5,41001_2016_03_14_1910.jpg,1.62,10.0
5,41001_2016_03_14_2010.jpg,1.9,11.1
5,41001_2016_03_14_2110.jpg,1.91,10.4
5,41001_2016_03_14_2210.jpg,1.97,9.4
5,41001_2016_03_14_2310.jpg,2.29,10.6
5,41001_2016_03_15_0010.jpg,2.1,10.6
6,41001_2016_03_15_0110.jpg,1.96,11.4
5,41001_2016_03_15_0210.jpg,2.01,10.3
5,41001_2016_03_15_0310.jpg,2.11,10.1
5,41001_2016_03_15_0410.jpg,2.09,11.3
5,41001_2016_03_15_0510.jpg,2.16,10.5
5,41001_2016_03_15_0610.jpg,2.05,10.4
5,41001_2016_03_15_0710.jpg,1.87,9.3
4,41001_2016_03_15_0810.jpg,1.69,8.5
5,41001_2016_03_15_0910.jpg,1.94,9.3
4,41001_2016_03_15_1010.jpg,0.9,6.9
4,41001_2016_03_15_1110.jpg,1.76,8.3
4,41001_2016_03_15_1210.jpg,1.95,8.3
4,41001_2016_03_15_1310.jpg,1.83,8.4
4,41001_2016_03_15_1400.jpg,1.76,8.4
5,41001_2016_03_15_1510.jpg,1.87,8.8
5,41001_2016_03_15_1610.jpg,1.84,10.4
5,41001_2016_03_15_1710.jpg,2.05,9.9
5,41001_2016_03_15_1810.jpg,2.02,9.9
5,41001_2016_03_15_1910.jpg,2.05,10.9
5,41001_2016_03_15_2010.jpg,2.26,10.2
5,41001_2016_03_15_2110.jpg,2.09,9.7
5,41001_2016_03_15_2210.jpg,1.8,9.9
5,41001_2016_03_15_2310.jpg,1.98,10.4
5,41001_2016_03_16_0010.jpg,2.26,10.6
6,41001_2016_03_16_0110.jpg,2.38,11.6
5,41001_2016_03_16_0210.jpg,2.36,10.2
5,41001_2016_03_16_0310.jpg,2.37,9.9
5,41001_2016_03_16_0410.jpg,1.88,10.1
5,41001_2016_03_16_0510.jpg,2.04,9.9
5,41001_2016_03_16_0610.jpg,2.09,9.1
5,41001_2016_03_16_0710.jpg,2.15,9.3
4,41001_2016_03_16_0810.jpg,1.84,8.6
4,41001_2016_03_16_0910.jpg,1.69,8.4
4,41001_2016_03_16_1010.jpg,1.57,8.0
4,41001_2016_03_16_1110.jpg,1.63,7.8
4,41001_2016_03_16_1210.jpg,1.18,7.3
4,41001_2016_03_16_1310.jpg,0.76,6.1
3,41001_2016_03_16_1410.jpg,0.55,4.6
3,41001_2016_03_16_1510.jpg,0.46,3.9
2,41001_2016_03_16_1610.jpg,0.46,3.0
2,41001_2016_03_16_1710.jpg,0.43,2.4
2,41001_2016_03_16_1810.jpg,0.57,3.2
3,41001_2016_03_16_1910.jpg,0.81,5.4
4,41001_2016_03_16_2010.jpg,0.7,7.5
4,41001_2016_03_16_2110.jpg,0.73,8.3
5,41001_2016_03_16_2210.jpg,0.89,8.9
5,41001_2016_03_16_2310.jpg,1.07,9.8
5,41001_2016_03_17_0010.jpg,1.22,10.0
5,41001_2016_03_17_0110.jpg,1.14,9.2
5,41001_2016_03_17_0210.jpg,1.3,9.6
5,41001_2016_03_17_0310.jpg,1.38,10.6
5,41001_2016_03_17_0410.jpg,1.51,11.0
5,41001_2016_03_17_0510.jpg,1.44,10.5
5,41001_2016_03_17_0610.jpg,1.53,10.5
5,41001_2016_03_17_0710.jpg,1.77,9.1
5,41001_2016_03_17_0810.jpg,1.8,9.9
4,41001_2016_03_17_0910.jpg,1.62,8.7
4,41001_2016_03_17_1010.jpg,1.65,8.3
4,41001_2016_03_17_1110.jpg,1.48,7.3
3,41001_2016_03_17_1210.jpg,0.7,5.1
3,41001_2016_03_17_1310.jpg,0.66,4.4
3,41001_2016_03_17_1410.jpg,0.62,4.5
3,41001_2016_03_17_1510.jpg,1.0,5.2
4,41001_2016_03_17_1610.jpg,1.02,5.9
3,41001_2016_03_17_1710.jpg,0.69,5.5
3,41001_2016_03_17_1810.jpg,0.46,4.4
2,41001_2016_03_17_1910.jpg,0.45,3.1
2,41001_2016_03_17_2010.jpg,0.4,2.5
3,41001_2016_03_17_2110.jpg,0.36,3.7
2,41001_2016_03_17_2210.jpg,0.38,2.8
0,41001_2016_03_17_2310.jpg,0.36,0.4
1,41001_2016_03_18_0010.jpg,0.35,0.7
1,41001_2016_03_18_0110.jpg,0.34,1.0
2,41001_2016_03_18_0210.jpg,0.35,3.1
3,41001_2016_03_18_0310.jpg,0.43,4.0
3,41001_2016_03_18_0410.jpg,0.49,5.1
4,41001_2016_03_18_0510.jpg,0.41,6.0
3,41001_2016_03_18_0610.jpg,0.37,4.1
2,41001_2016_03_18_0710.jpg,0.38,3.6
2,41001_2016_03_18_0810.jpg,0.39,3.5
2,41001_2016_03_18_0910.jpg,0.4,3.4
2,41001_2016_03_18_1010.jpg,,2.6
3,41001_2016_03_18_1110.jpg,0.36,3.8
3,41001_2016_03_18_1210.jpg,0.76,4.3
3,41001_2016_03_18_1310.jpg,0.39,4.7
2,41001_2016_03_18_1410.jpg,0.43,2.2
3,41001_2016_03_18_1510.jpg,0.85,4.3
4,41001_2016_03_18_1610.jpg,1.49,6.1
5,41001_2016_03_18_1710.jpg,1.31,11.0
5,41001_2016_03_18_1810.jpg,1.66,10.7
5,41001_2016_03_18_1910.jpg,1.59,9.4
4,41001_2016_03_18_2010.jpg,1.51,8.2
4,41001_2016_03_18_2110.jpg,1.47,8.5
4,41001_2016_03_18_2210.jpg,1.18,7.7
4,41001_2016_03_18_2310.jpg,1.02,6.8
4,41001_2016_03_19_0010.jpg,1.02,6.0
3,41001_2016_03_19_0110.jpg,0.51,5.6
3,41001_2016_03_19_0210.jpg,0.44,4.7
3,41001_2016_03_19_0310.jpg,0.37,5.1
3,41001_2016_03_19_0410.jpg,0.36,4.8
3,41001_2016_03_19_0510.jpg,0.33,4.2
3,41001_2016_03_19_0610.jpg,0.3,4.6
3,41001_2016_03_19_0710.jpg,0.29,4.0
3,41001_2016_03_19_0810.jpg,0.27,4.1
3,41001_2016_03_19_0910.jpg,0.37,4.4
3,41001_2016_03_19_1010.jpg,0.36,4.8
3,41001_2016_03_19_1110.jpg,0.47,5.2
3,41001_2016_03_19_1210.jpg,0.66,5.4
4,41001_2016_03_19_1310.jpg,0.95,6.2
4,41001_2016_03_19_1410.jpg,0.99,7.6
4,41001_2016_03_19_1510.jpg,1.13,8.0
4,41001_2016_03_19_1610.jpg,1.45,8.4
4,41001_2016_03_19_1710.jpg,1.44,8.2
5,41001_2016_03_19_1810.jpg,1.53,9.6
5,41001_2016_03_19_1910.jpg,1.45,10.1
5,41001_2016_03_19_2010.jpg,1.77,10.8
5,41001_2016_03_19_2110.jpg,2.41,11.3
5,41001_2016_03_19_2210.jpg,2.15,10.1
4,41001_2016_03_19_2310.jpg,2.34,8.3
5,41001_2016_03_20_0010.jpg,2.28,10.5
3,41001_2016_03_20_0110.jpg,1.63,4.4
4,41001_2016_03_20_0210.jpg,1.85,7.5
4,41001_2016_03_20_0310.jpg,1.69,8.0
4,41001_2016_03_20_0410.jpg,1.45,7.5
4,41001_2016_03_20_0510.jpg,0.91,6.6
4,41001_2016_03_20_0610.jpg,0.6,5.7
3,41001_2016_03_20_0710.jpg,0.7,5.1
3,41001_2016_03_20_0810.jpg,1.31,4.6
3,41001_2016_03_20_0910.jpg,0.48,5.0
1,41001_2016_03_20_1010.jpg,0.34,1.9
1,41001_2016_03_20_1110.jpg,0.35,1.9
1,41001_2016_03_20_1210.jpg,0.36,1.7
1,41001_2016_03_20_1310.jpg,0.37,1.4
3,41001_2016_03_20_1410.jpg,0.38,3.8
3,41001_2016_03_20_1510.jpg,0.44,4.4
3,41001_2016_03_20_1610.jpg,0.54,4.4
3,41001_2016_03_20_1710.jpg,0.6,5.2
4,41001_2016_03_20_1810.jpg,1.13,5.7
4,41001_2016_03_20_1910.jpg,1.29,6.8
4,41001_2016_03_20_2010.jpg,1.08,7.2
4,41001_2016_03_20_2110.jpg,1.24,7.4
4,41001_2016_03_20_2210.jpg,1.11,7.8
4,41001_2016_03_20_2310.jpg,1.18,7.6
4,41001_2016_03_21_0010.jpg,1.05,6.7
4,41001_2016_03_21_0110.jpg,1.16,7.7
5,41001_2016_03_21_0210.jpg,,8.9
4,41001_2016_03_21_0310.jpg,0.86,7.5
5,41001_2016_03_21_0410.jpg,1.01,9.0
5,41001_2016_03_21_0510.jpg,1.11,9.1
5,41001_2016_03_21_0610.jpg,1.14,9.8
5,41001_2016_03_21_0710.jpg,1.09,9.7
5,41001_2016_03_21_0810.jpg,1.08,10.3
5,41001_2016_03_21_0910.jpg,1.08,10.9
5,41001_2016_03_21_1010.jpg,1.27,11.3
6,41001_2016_03_21_1110.jpg,1.6,12.3
5,41001_2016_03_21_1210.jpg,1.6,11.1
6,41001_2016_03_21_1310.jpg,1.57,11.9
6,41001_2016_03_21_1410.jpg,1.78,12.5
6,41001_2016_03_21_1510.jpg,2.09,12.8
5,41001_2016_03_21_1610.jpg,2.22,11.3
6,41001_2016_03_21_1710.jpg,2.24,12.5
6,41001_2016_03_21_1810.jpg,3.04,13.2
5,41001_2016_03_21_1910.jpg,3.06,10.7
6,41001_2016_03_21_2000.jpg,2.45,12.0
6,41001_2016_03_21_2110.jpg,2.31,12.9
6,41001_2016_03_21_2210.jpg,2.07,12.6
6,41001_2016_03_21_2310.jpg,1.75,12.4
6,41001_2016_03_22_0010.jpg,1.98,12.7
6,41001_2016_03_22_0110.jpg,1.74,12.0
5,41001_2016_03_22_0210.jpg,2.04,11.3
5,41001_2016_03_22_0310.jpg,2.15,10.5
5,41001_2016_03_22_0410.jpg,2.03,11.1
5,41001_2016_03_22_0510.jpg,2.53,10.0
5,41001_2016_03_22_0610.jpg,2.31,9.2
4,41001_2016_03_22_0710.jpg,1.69,8.0
4,41001_2016_03_22_0810.jpg,1.61,7.8
4,41001_2016_03_22_0910.jpg,1.73,8.0
4,41001_2016_03_22_1010.jpg,1.5,7.2
4,41001_2016_03_22_1110.jpg,1.61,7.5
4,41001_2016_03_22_1210.jpg,1.25,6.4
3,41001_2016_03_22_1310.jpg,0.98,5.6
4,41001_2016_03_22_1400.jpg,0.91,5.8
3,41001_2016_03_22_1510.jpg,1.0,5.1
3,41001_2016_03_22_1610.jpg,0.7,4.5
2,41001_2016_03_22_1710.jpg,0.55,3.6
2,41001_2016_03_22_1810.jpg,0.49,2.6
1,41001_2016_03_22_1910.jpg,0.48,2.0
1,41001_2016_03_22_2010.jpg,0.48,1.0
1,41001_2016_03_22_2110.jpg,0.48,0.7
1,41001_2016_03_22_2210.jpg,0.38,1.3
3,41001_2016_03_22_2310.jpg,0.75,5.3
4,41001_2016_03_23_0010.jpg,0.86,6.3
4,41001_2016_03_23_0110.jpg,0.88,7.0
4,41001_2016_03_23_0210.jpg,0.95,7.8
4,41001_2016_03_23_0310.jpg,1.03,7.6
4,41001_2016_03_23_0410.jpg,1.22,8.6
5,41001_2016_03_23_0510.jpg,1.36,9.7
5,41001_2016_03_23_0610.jpg,1.37,9.9
5,41001_2016_03_23_0710.jpg,1.49,9.7
5,41001_2016_03_23_0810.jpg,1.55,9.6
5,41001_2016_03_23_0910.jpg,1.6,10.0
5,41001_2016_03_23_1010.jpg,1.91,9.9
5,41001_2016_03_23_1110.jpg,2.16,10.3
5,41001_2016_03_23_1210.jpg,1.96,9.5
5,41001_2016_03_23_1310.jpg,1.97,10.2
5,41001_2016_03_23_1410.jpg,2.08,9.6
5,41001_2016_03_23_1510.jpg,2.18,9.6
5,41001_2016_03_23_1610.jpg,2.17,9.8
5,41001_2016_03_23_1710.jpg,2.37,10.1
5,41001_2016_03_23_1810.jpg,2.32,10.5
5,41001_2016_03_23_1910.jpg,2.62,10.1
5,41001_2016_03_23_2010.jpg,2.5,10.4
5,41001_2016_03_23_2110.jpg,2.42,10.8
5,41001_2016_03_23_2210.jpg,2.48,10.9
5,41001_2016_03_23_2310.jpg,2.33,10.4
5,41001_2016_03_24_0010.jpg,2.43,10.3
5,41001_2016_03_24_0110.jpg,2.55,10.8
5,41001_2016_03_24_0210.jpg,2.65,10.2
5,41001_2016_03_24_0310.jpg,2.38,10.2
5,41001_2016_03_24_0410.jpg,2.38,10.0
5,41001_2016_03_24_0510.jpg,2.16,10.2
5,41001_2016_03_24_0610.jpg,2.23,9.5
5,41001_2016_03_24_0710.jpg,1.93,9.3
4,41001_2016_03_24_0810.jpg,1.91,8.4
4,41001_2016_03_24_0910.jpg,1.82,8.4
4,41001_2016_03_24_1010.jpg,1.85,8.1
4,41001_2016_03_24_1110.jpg,1.7,8.6
4,41001_2016_03_24_1210.jpg,1.74,8.0
4,41001_2016_03_24_1310.jpg,1.58,7.8
4,41001_2016_03_24_1410.jpg,1.55,7.7
4,41001_2016_03_24_1510.jpg,1.6,7.8
5,41001_2016_03_24_1610.jpg,1.56,9.2
5,41001_2016_03_24_1710.jpg,1.55,9.2
5,41001_2016_03_24_1810.jpg,1.61,9.4
5,41001_2016_03_24_1910.jpg,1.73,9.6
5,41001_2016_03_24_2010.jpg,1.65,9.6
5,41001_2016_03_24_2110.jpg,1.59,9.3
5,41001_2016_03_24_2210.jpg,1.44,8.8
5,41001_2016_03_24_2310.jpg,1.37,8.9
5,41001_2016_03_25_0010.jpg,1.62,10.4
5,41001_2016_03_25_0110.jpg,1.74,10.6
6,41001_2016_03_25_0210.jpg,2.16,11.9
6,41001_2016_03_25_0310.jpg,2.15,11.4
5,41001_2016_03_25_0410.jpg,2.23,10.7
6,41001_2016_03_25_0510.jpg,2.27,12.0
6,41001_2016_03_25_0610.jpg,2.36,12.4
5,41001_2016_03_25_0710.jpg,2.51,11.3
5,41001_2016_03_25_0810.jpg,2.06,10.7
5,41001_2016_03_25_0910.jpg,2.51,10.6
5,41001_2016_03_25_1010.jpg,2.72,10.6
5,41001_2016_03_25_1110.jpg,2.48,11.2
5,41001_2016_03_25_1210.jpg,2.47,10.6
5,41001_2016_03_25_1310.jpg,2.44,10.1
5,41001_2016_03_25_1410.jpg,2.45,9.8
5,41001_2016_03_25_1510.jpg,2.38,10.4
5,41001_2016_03_25_1610.jpg,2.29,10.5
5,41001_2016_03_25_1710.jpg,2.32,9.3
5,41001_2016_03_25_1810.jpg,2.38,9.7
5,41001_2016_03_25_1910.jpg,2.2,9.3
5,41001_2016_03_25_2010.jpg,2.19,9.3
5,41001_2016_03_25_2110.jpg,2.22,9.5
5,41001_2016_03_25_2210.jpg,2.15,10.7
5,41001_2016_03_25_2310.jpg,2.06,10.6
5,41001_2016_03_26_0010.jpg,2.0,9.8
5,41001_2016_03_26_0110.jpg,2.08,9.7
5,41001_2016_03_26_0210.jpg,1.92,9.8
5,41001_2016_03_26_0310.jpg,2.15,9.8
5,41001_2016_03_26_0410.jpg,2.32,10.0
5,41001_2016_03_26_0510.jpg,2.49,8.8
5,41001_2016_03_26_0610.jpg,2.22,9.7
4,41001_2016_03_26_0710.jpg,2.36,8.3
4,41001_2016_03_26_0810.jpg,0.63,7.1
3,41001_2016_03_26_0910.jpg,0.56,3.8
3,41001_2016_03_26_1010.jpg,2.1,4.4
4,41001_2016_03_26_1110.jpg,1.5,7.6
4,41001_2016_03_26_1210.jpg,1.75,7.2
4,41001_2016_03_26_1310.jpg,1.35,6.7
4,41001_2016_03_26_1410.jpg,0.94,6.4
3,41001_2016_03_26_1510.jpg,0.62,4.8
3,41001_2016_03_26_1610.jpg,0.64,4.8
3,41001_2016_03_26_1710.jpg,0.61,4.2
3,41001_2016_03_26_1810.jpg,0.77,4.9
3,41001_2016_03_26_1910.jpg,0.54,4.5
3,41001_2016_03_26_2010.jpg,0.42,3.9
2,41001_2016_03_26_2110.jpg,0.41,3.1
1,41001_2016_03_26_2210.jpg,0.39,1.8
1,41001_2016_03_26_2310.jpg,0.38,2.0
1,41001_2016_03_27_0010.jpg,0.39,1.6
1,41001_2016_03_27_0110.jpg,0.38,0.8
1,41001_2016_03_27_0210.jpg,0.37,1.3
1,41001_2016_03_27_0310.jpg,0.37,0.6
0,41001_2016_03_27_0410.jpg,0.38,0.3
0,41001_2016_03_27_0510.jpg,0.38,0.5
1,41001_2016_03_27_0610.jpg,0.32,1.7
2,41001_2016_03_27_0710.jpg,0.38,2.6
1,41001_2016_03_27_0810.jpg,0.34,1.6
2,41001_2016_03_27_0910.jpg,0.33,2.3
2,41001_2016_03_27_1010.jpg,0.34,3.2
3,41001_2016_03_27_1110.jpg,0.39,4.1
3,41001_2016_03_27_1210.jpg,0.74,5.2
3,41001_2016_03_27_1310.jpg,0.57,5.6
4,41001_2016_03_27_1410.jpg,0.56,5.9
3,41001_2016_03_27_1510.jpg,0.45,4.7
3,41001_2016_03_27_1610.jpg,0.64,5.4
4,41001_2016_03_27_1710.jpg,0.91,6.3
4,41001_2016_03_27_1810.jpg,0.76,6.3
3,41001_2016_03_27_1910.jpg,0.58,5.4
3,41001_2016_03_27_2010.jpg,0.45,4.3
2,41001_2016_03_27_2110.jpg,0.39,2.9
2,41001_2016_03_27_2210.jpg,0.39,2.5
1,41001_2016_03_27_2310.jpg,0.35,1.9
1,41001_2016_03_28_0000.jpg,0.34,1.9
3,41001_2016_03_28_0110.jpg,0.58,3.9
4,41001_2016_03_28_0200.jpg,0.54,5.7
2,41001_2016_03_28_0310.jpg,0.37,3.4
1,41001_2016_03_28_0410.jpg,0.35,1.7
2,41001_2016_03_28_0510.jpg,1.33,3.2
5,41001_2016_03_28_0610.jpg,1.39,9.6
5,41001_2016_03_28_0710.jpg,1.88,11.0
6,41001_2016_03_28_0810.jpg,2.11,12.3
6,41001_2016_03_28_0910.jpg,2.44,13.8
6,41001_2016_03_28_1010.jpg,,14.2
6,41001_2016_03_28_1110.jpg,2.83,13.6
7,41001_2016_03_28_1210.jpg,3.33,14.6
7,41001_2016_03_28_1310.jpg,3.77,16.1
6,41001_2016_03_28_1410.jpg,3.56,13.5
7,41001_2016_03_28_1510.jpg,2.88,16.0
6,41001_2016_03_28_1610.jpg,1.8,11.8
6,41001_2016_03_28_1710.jpg,2.47,11.6
5,41001_2016_03_28_1810.jpg,2.08,10.9
5,41001_2016_03_28_1910.jpg,1.97,9.7
5,41001_2016_03_28_2010.jpg,2.16,9.8
5,41001_2016_03_28_2110.jpg,2.8,9.7
5,41001_2016_03_28_2210.jpg,1.77,9.8
5,41001_2016_03_28_2310.jpg,1.47,9.4
5,41001_2016_03_29_0010.jpg,1.66,9.3
5,41001_2016_03_29_0050.jpg,1.66,9.3
5,41001_2016_03_29_0210.jpg,1.65,10.5
5,41001_2016_03_29_0310.jpg,1.83,10.6
6,41001_2016_03_29_0410.jpg,2.78,11.4
5,41001_2016_03_29_0510.jpg,1.8,10.5
5,41001_2016_03_29_0610.jpg,1.8,10.6
5,41001_2016_03_29_0710.jpg,2.02,10.1
5,41001_2016_03_29_0810.jpg,2.34,9.5
5,41001_2016_03_29_0910.jpg,1.75,9.4
4,41001_2016_03_29_1010.jpg,1.8,8.5
4,41001_2016_03_29_1110.jpg,1.43,7.5
4,41001_2016_03_29_1210.jpg,1.6,7.4
4,41001_2016_03_29_1310.jpg,1.74,7.8
4,41001_2016_03_29_1410.jpg,1.45,7.8
4,41001_2016_03_29_1510.jpg,1.43,8.3
4,41001_2016_03_29_1610.jpg,1.54,7.9
4,41001_2016_03_29_1710.jpg,1.43,8.5
4,41001_2016_03_29_1810.jpg,1.34,8.3
4,41001_2016_03_29_1910.jpg,1.45,7.5
4,41001_2016_03_29_2010.jpg,1.27,7.9
4,41001_2016_03_29_2110.jpg,1.21,6.7
4,41001_2016_03_29_2210.jpg,1.1,7.0
4,41001_2016_03_29_2310.jpg,0.89,7.2
4,41001_2016_03_30_0010.jpg,0.9,7.2
4,41001_2016_03_30_0110.jpg,0.96,7.8
4,41001_2016_03_30_0210.jpg,0.86,8.4
4,41001_2016_03_30_0310.jpg,0.98,8.6
4,41001_2016_03_30_0410.jpg,0.99,8.4
5,41001_2016_03_30_0510.jpg,1.22,8.8
4,41001_2016_03_30_0610.jpg,1.24,8.0
4,41001_2016_03_30_0710.jpg,1.09,7.6
4,41001_2016_03_30_0810.jpg,1.13,7.9
4,41001_2016_03_30_0900.jpg,1.23,7.8
4,41001_2016_03_30_1010.jpg,1.25,7.6
4,41001_2016_03_30_1110.jpg,1.22,7.6
4,41001_2016_03_30_1210.jpg,1.04,7.8
4,41001_2016_03_30_1310.jpg,0.94,6.8
4,41001_2016_03_30_1410.jpg,0.82,6.5
4,41001_2016_03_30_1510.jpg,0.68,6.1
3,41001_2016_03_30_1610.jpg,0.63,5.5
4,41001_2016_03_30_1710.jpg,0.52,5.7
3,41001_2016_03_30_1810.jpg,0.5,5.1
3,41001_2016_03_30_1910.jpg,0.48,4.9
4,41001_2016_03_30_2010.jpg,0.48,5.9
3,41001_2016_03_30_2110.jpg,0.56,4.5
3,41001_2016_03_30_2210.jpg,0.61,5.4
4,41001_2016_03_30_2310.jpg,0.36,6.0
4,41001_2016_03_31_0010.jpg,0.83,5.9
4,41001_2016_03_31_0110.jpg,0.76,6.7
4,41001_2016_03_31_0210.jpg,1.27,8.1
4,41001_2016_03_31_0310.jpg,0.98,7.8
4,41001_2016_03_31_0410.jpg,0.99,7.6
4,41001_2016_03_31_0500.jpg,1.12,7.5
4,41001_2016_03_31_0610.jpg,1.2,8.1
4,41001_2016_03_31_0710.jpg,1.28,8.6
5,41001_2016_03_31_0810.jpg,1.37,8.9
4,41001_2016_03_31_0910.jpg,1.33,8.6
4,41001_2016_03_31_1010.jpg,1.47,8.3
4,41001_2016_03_31_1110.jpg,1.22,7.1
4,41001_2016_03_31_1210.jpg,1.22,6.9
4,41001_2016_03_31_1310.jpg,1.46,8.3
4,41001_2016_03_31_1410.jpg,1.46,8.6
5,41001_2016_03_31_1510.jpg,1.57,9.4
5,41001_2016_03_31_1610.jpg,1.65,9.2
5,41001_2016_03_31_1710.jpg,1.7,9.7
5,41001_2016_03_31_1810.jpg,1.89,10.2
5,41001_2016_03_31_1910.jpg,1.94,10.4
5,41001_2016_03_31_2010.jpg,1.86,9.7
5,41001_2016_03_31_2110.jpg,2.01,10.2
5,41001_2016_03_31_2210.jpg,2.22,10.2
5,41001_2016_03_31_2310.jpg,2.08,10.5
6,41001_2016_04_01_0010.jpg,2.46,11.4
6,41001_2016_04_01_0110.jpg,2.41,11.4
6,41001_2016_04_01_0210.jpg,2.63,11.8
6,41001_2016_04_01_0310.jpg,2.57,11.6
6,41001_2016_04_01_0410.jpg,2.5,11.5
5,41001_2016_04_01_0510.jpg,2.56,11.2
5,41001_2016_04_01_0610.jpg,2.64,10.5
5,41001_2016_04_01_0810.jpg,2.4,9.9
5,41001_2016_04_01_0910.jpg,,10.0
5,41001_2016_04_01_1010.jpg,2.16,9.6
5,41001_2016_04_01_1110.jpg,2.39,9.2
5,41001_2016_04_01_1210.jpg,2.48,9.3
5,41001_2016_04_01_1310.jpg,2.29,9.9
