PictureName,WindSpeed(m/s),WaveHeight(m/s),BeaufortForce
Z63A_2019_04_09_0910.jpg,8.0,MM,4
Z63A_2019_04_09_0810.jpg,8.0,MM,4
Z63A_2019_04_09_0710.jpg,8.0,MM,4
Z63A_2019_04_09_0610.jpg,8.0,MM,4
Z63A_2019_04_09_0510.jpg,9.0,MM,5
Z63A_2019_04_09_0410.jpg,9.0,MM,5
Z63A_2019_04_09_0310.jpg,9.0,MM,5
Z63A_2019_04_09_0210.jpg,9.0,MM,5
Z63A_2019_04_09_0110.jpg,9.0,MM,5
Z63A_2019_04_09_0010.jpg,9.0,MM,5
Z63A_2019_04_08_2310.jpg,9.0,MM,5
Z63A_2019_04_08_2210.jpg,8.0,MM,4
Z63A_2019_04_08_2110.jpg,7.0,MM,4
Z63A_2019_04_08_2010.jpg,7.0,MM,4
Z63A_2019_04_08_1910.jpg,7.0,MM,4
Z63A_2019_04_08_1810.jpg,6.0,MM,4
Z63A_2019_04_08_1710.jpg,6.0,MM,4
Z63A_2019_04_08_1610.jpg,6.0,MM,4
Z63A_2019_04_08_1510.jpg,6.0,MM,4
Z63A_2019_04_08_1410.jpg,5.0,MM,3
Z63A_2019_04_08_1310.jpg,6.0,MM,4
Z63A_2019_04_08_1210.jpg,5.0,MM,3
Z63A_2019_04_08_1110.jpg,5.0,MM,3
Z63A_2019_04_08_1010.jpg,5.0,MM,3
Z63A_2019_04_08_0910.jpg,4.0,MM,3
Z63A_2019_04_08_0810.jpg,5.0,MM,3
Z63A_2019_04_08_0710.jpg,5.0,MM,3
Z63A_2019_04_08_0610.jpg,5.0,MM,3
Z63A_2019_04_08_0510.jpg,5.0,MM,3
Z63A_2019_04_08_0410.jpg,6.0,MM,4
Z63A_2019_04_08_0310.jpg,6.0,MM,4
Z63A_2019_04_08_0210.jpg,5.0,MM,3
Z63A_2019_04_08_0110.jpg,5.0,MM,3
Z63A_2019_04_08_0010.jpg,4.0,MM,3
Z63A_2019_04_07_2310.jpg,4.0,MM,3
Z63A_2019_04_07_2210.jpg,5.0,MM,3
Z09A_2019_04_10_0110.jpg,6.0,MM,4
Z09A_2019_04_10_0010.jpg,5.0,MM,3
Z09A_2019_04_09_2310.jpg,6.0,MM,4
Z09A_2019_04_09_2210.jpg,6.0,MM,4
Z09A_2019_04_09_2110.jpg,7.0,MM,4
Z09A_2019_04_09_2010.jpg,7.0,MM,4
Z09A_2019_04_09_1910.jpg,5.0,MM,3
Z09A_2019_04_09_1810.jpg,6.0,MM,4
Z09A_2019_04_09_1710.jpg,6.0,MM,4
Z09A_2019_04_09_1610.jpg,6.0,MM,4
Z09A_2019_04_09_1510.jpg,6.0,MM,4
Z09A_2019_04_09_1410.jpg,6.0,MM,4
Z09A_2019_04_09_1310.jpg,6.0,MM,4
Z09A_2019_04_09_1210.jpg,6.0,MM,4
Z09A_2019_04_09_1110.jpg,6.0,MM,4
Z09A_2019_04_09_1010.jpg,6.0,MM,4
Z09A_2019_04_09_0910.jpg,5.0,MM,3
Z09A_2019_04_09_0810.jpg,5.0,MM,3
Z09A_2019_04_09_0710.jpg,4.0,MM,3
Z09A_2019_04_09_0610.jpg,5.0,MM,3
Z09A_2019_04_09_0510.jpg,5.0,MM,3
Z09A_2019_04_09_0410.jpg,5.0,MM,3
Z09A_2019_04_09_0310.jpg,5.0,MM,3
Z09A_2019_04_09_0210.jpg,6.0,MM,4
Z09A_2019_04_09_0110.jpg,5.0,MM,3
Z09A_2019_04_09_0010.jpg,5.0,MM,3
Z09A_2019_04_08_2310.jpg,5.0,MM,3
Z09A_2019_04_08_2200.jpg,5.0,MM,3
Z09A_2019_04_08_2110.jpg,4.0,MM,3
Z09A_2019_04_08_2000.jpg,5.0,MM,3
Z09A_2019_04_08_1910.jpg,4.0,MM,3
Z09A_2019_04_08_1810.jpg,4.0,MM,3
Z09A_2019_04_08_1710.jpg,5.0,MM,3
Z09A_2019_04_08_1610.jpg,6.0,MM,4
Z09A_2019_04_08_1510.jpg,6.0,MM,4
Z09A_2019_04_08_1410.jpg,5.0,MM,3
Z09A_2019_04_08_1310.jpg,5.0,MM,3
Z09A_2019_04_08_1210.jpg,5.0,MM,3
Z09A_2019_04_08_1110.jpg,5.0,MM,3
Z09A_2019_04_08_1010.jpg,5.0,MM,3
Z09A_2019_04_08_0910.jpg,5.0,MM,3
Z09A_2019_04_08_0810.jpg,5.0,MM,3
Z09A_2019_04_08_0710.jpg,5.0,MM,3
Z09A_2019_04_08_0610.jpg,5.0,MM,3
Z09A_2019_04_08_0510.jpg,5.0,MM,3
Z09A_2019_04_08_0410.jpg,5.0,MM,3
Z09A_2019_04_08_0310.jpg,6.0,MM,4
Z80A_2019_04_10_0110.jpg,6.0,MM,4
Z80A_2019_04_10_0010.jpg,5.0,MM,3
Z80A_2019_04_09_2310.jpg,5.0,MM,3
Z80A_2019_04_09_2210.jpg,5.0,MM,3
Z80A_2019_04_09_2110.jpg,7.0,MM,4
Z80A_2019_04_09_2010.jpg,6.0,MM,4
Z61A_2019_04_10_0110.jpg,3.0,MM,2
Z61A_2019_04_10_0010.jpg,3.0,MM,2
Z61A_2019_04_09_2310.jpg,3.0,MM,2
Z61A_2019_04_09_2210.jpg,3.0,MM,2
Z61A_2019_04_09_2110.jpg,3.0,MM,2
Z61A_2019_04_09_2010.jpg,4.0,MM,3
Z61A_2019_04_09_1910.jpg,4.0,MM,3
Z61A_2019_04_09_1810.jpg,2.0,MM,1
Z61A_2019_04_09_1710.jpg,3.0,MM,2
Z61A_2019_04_09_1610.jpg,4.0,MM,3
Z61A_2019_04_09_1510.jpg,4.0,MM,3
Z61A_2019_04_09_1500.jpg,4.0,MM,3
Z61A_2019_04_09_1410.jpg,4.0,MM,3
Z61A_2019_04_09_1310.jpg,5.0,MM,3
Z61A_2019_04_09_1210.jpg,5.0,MM,3
Z61A_2019_04_09_1110.jpg,6.0,MM,4
Z61A_2019_04_09_1010.jpg,5.0,MM,3
Z61A_2019_04_09_0910.jpg,3.0,MM,2
Z61A_2019_04_09_0810.jpg,3.0,MM,2
Z61A_2019_04_09_0710.jpg,4.0,MM,3
Z61A_2019_04_09_0600.jpg,5.0,MM,3
Z61A_2019_04_09_0510.jpg,5.0,MM,3
Z61A_2019_04_09_0410.jpg,4.0,MM,3
Z61A_2019_04_09_0310.jpg,5.0,MM,3
Z61A_2019_04_09_0210.jpg,5.0,MM,3
Z61A_2019_04_09_0110.jpg,6.0,MM,4
Z61A_2019_04_09_0010.jpg,6.0,MM,4
Z61A_2019_04_08_2310.jpg,5.0,MM,3
Z61A_2019_04_08_2210.jpg,5.0,MM,3
Z61A_2019_04_08_2110.jpg,5.0,MM,3
Z61A_2019_04_08_2010.jpg,5.0,MM,3
Z61A_2019_04_08_1910.jpg,6.0,MM,4
Z61A_2019_04_08_1810.jpg,7.0,MM,4
Z61A_2019_04_08_1710.jpg,7.0,MM,4
Z61A_2019_04_08_1630.jpg,8.0,MM,4
Z61A_2019_04_08_1620.jpg,9.0,MM,5
Z61A_2019_04_08_1610.jpg,10.0,MM,5
Z61A_2019_04_08_1510.jpg,10.0,MM,5
Z61A_2019_04_08_1450.jpg,11.0,1.6,5
Z61A_2019_04_08_1410.jpg,10.0,MM,5
Z61A_2019_04_08_1310.jpg,9.0,MM,5
Z61A_2019_04_08_1210.jpg,8.0,MM,4
Z61A_2019_04_08_1110.jpg,7.0,MM,4
Z61A_2019_04_08_1010.jpg,8.0,MM,4
Z61A_2019_04_08_0910.jpg,7.0,MM,4
Z92A_2019_04_10_0110.jpg,6.0,MM,4
Z92A_2019_04_10_0010.jpg,7.0,MM,4
Z92A_2019_04_09_2310.jpg,6.0,MM,4
Z92A_2019_04_09_2210.jpg,5.0,MM,3
Z92A_2019_04_09_2110.jpg,4.0,MM,3
Z92A_2019_04_09_2010.jpg,5.0,MM,3
Z92A_2019_04_09_1910.jpg,4.0,MM,3
Z92A_2019_04_09_1810.jpg,5.0,MM,3
Z92A_2019_04_09_1710.jpg,5.0,MM,3
Z92A_2019_04_09_1600.jpg,4.0,MM,3
Z92A_2019_04_09_1510.jpg,4.0,MM,3
Z92A_2019_04_09_1410.jpg,4.0,MM,3
Z92A_2019_04_09_1310.jpg,5.0,MM,3
Z92A_2019_04_09_1210.jpg,5.0,MM,3
Z92A_2019_04_09_1110.jpg,5.0,MM,3
Z92A_2019_04_09_1010.jpg,6.0,MM,4
Z92A_2019_04_09_0910.jpg,7.0,MM,4
Z92A_2019_04_09_0800.jpg,6.0,MM,4
Z92A_2019_04_09_0710.jpg,6.0,MM,4
Z92A_2019_04_09_0610.jpg,7.0,MM,4
Z92A_2019_04_09_0510.jpg,4.0,MM,3
Z92A_2019_04_09_0400.jpg,5.0,MM,3
Z92A_2019_04_09_0310.jpg,4.0,MM,3
Z92A_2019_04_09_0210.jpg,5.0,MM,3
Z92A_2019_04_09_0110.jpg,2.0,MM,1
Z92A_2019_04_09_0010.jpg,2.0,MM,1
Z92A_2019_04_08_2310.jpg,2.0,MM,1
Z92A_2019_04_08_2210.jpg,0.0,MM,0
Z92A_2019_04_08_2110.jpg,3.0,MM,2
Z92A_2019_04_08_2010.jpg,5.0,MM,3
Z92A_2019_04_08_1910.jpg,4.0,MM,3
Z92A_2019_04_08_1810.jpg,5.0,MM,3
Z92A_2019_04_08_1710.jpg,5.0,MM,3
Z92A_2019_04_08_1610.jpg,4.0,MM,3
Z92A_2019_04_08_1500.jpg,6.0,MM,4
Z92A_2019_04_08_1410.jpg,4.0,MM,3
Z92A_2019_04_08_1310.jpg,4.0,MM,3
Z92A_2019_04_08_1210.jpg,5.0,MM,3
Z92A_2019_04_08_1110.jpg,5.0,MM,3
Z92A_2019_04_08_1010.jpg,3.0,MM,2
Z92A_2019_04_08_0910.jpg,3.0,MM,2
Z92A_2019_04_08_0810.jpg,2.0,MM,1
Z92A_2019_04_08_0710.jpg,5.0,MM,3
Z92A_2019_04_08_0610.jpg,3.0,MM,2
Z92A_2019_04_08_0510.jpg,2.0,MM,1
Z92A_2019_04_08_0410.jpg,3.0,MM,2
Z92A_2019_04_08_0310.jpg,5.0,MM,3
Z92A_2019_04_08_0210.jpg,4.0,MM,3
Z92A_2019_04_08_0110.jpg,3.0,MM,2
Z92A_2019_04_08_0010.jpg,1.0,MM,1
Z92A_2019_04_07_2310.jpg,3.0,MM,2
Z92A_2019_04_07_2210.jpg,4.0,MM,3
Z92A_2019_04_07_2100.jpg,2.0,MM,1
Z92A_2019_04_07_2010.jpg,1.0,MM,1
Z92A_2019_04_07_1910.jpg,6.0,MM,4
Z92A_2019_04_07_1810.jpg,5.0,MM,3
Z92A_2019_04_07_1710.jpg,9.0,MM,5
Z92A_2019_04_07_1610.jpg,14.0,MM,6
Z92A_2019_04_07_1510.jpg,14.0,MM,6
Z92A_2019_04_07_1410.jpg,2.0,MM,1
Z92A_2019_04_07_1310.jpg,2.0,MM,1
Z92A_2019_04_07_1210.jpg,6.0,MM,4
Z92A_2019_04_07_1110.jpg,6.0,MM,4
Z92A_2019_04_07_1010.jpg,6.0,MM,4
Z92A_2019_04_07_0900.jpg,5.0,MM,3
Z92A_2019_04_07_0810.jpg,6.0,MM,4
Z92A_2019_04_07_0710.jpg,6.0,MM,4
Z92A_2019_04_07_0610.jpg,5.0,MM,3
Z92A_2019_04_07_0510.jpg,4.0,MM,3
Z17A_2019_04_10_0310.jpg,4.0,MM,3
Z17A_2019_04_10_0210.jpg,4.0,MM,3
Z17A_2019_04_10_0110.jpg,3.0,MM,2
Z17A_2019_04_10_0010.jpg,4.0,MM,3
Z17A_2019_04_09_2310.jpg,5.0,MM,3
Z17A_2019_04_09_2210.jpg,3.0,MM,2
Z17A_2019_04_09_2110.jpg,3.0,MM,2
Z17A_2019_04_09_2010.jpg,4.0,MM,3
Z17A_2019_04_09_1910.jpg,2.0,MM,1
Z17A_2019_04_09_1810.jpg,2.0,MM,1
Z17A_2019_04_09_1710.jpg,3.0,MM,2
Z17A_2019_04_09_1610.jpg,3.0,MM,2
Z17A_2019_04_09_1510.jpg,5.0,MM,3
Z17A_2019_04_09_1410.jpg,5.0,MM,3
Z17A_2019_04_09_1310.jpg,4.0,MM,3
Z17A_2019_04_09_1210.jpg,3.0,MM,2
Z17A_2019_04_09_1110.jpg,4.0,MM,3
Z17A_2019_04_09_1010.jpg,4.0,MM,3
Z17A_2019_04_09_0910.jpg,2.0,MM,1
Z17A_2019_04_09_0810.jpg,3.0,MM,2
Z17A_2019_04_09_0710.jpg,2.0,MM,1
Z17A_2019_04_09_0610.jpg,3.0,MM,2
Z17A_2019_04_09_0510.jpg,3.0,MM,2
Z17A_2019_04_09_0410.jpg,1.0,MM,1
Z17A_2019_04_09_0310.jpg,2.0,MM,1
Z17A_2019_04_09_0210.jpg,3.0,MM,2
Z17A_2019_04_09_0110.jpg,4.0,MM,3
Z17A_2019_04_09_0010.jpg,6.0,MM,4
Z71A_2019_04_10_0310.jpg,1.0,MM,1
Z71A_2019_04_10_0210.jpg,0.0,MM,0
Z71A_2019_04_10_0110.jpg,1.0,MM,1
Z71A_2019_04_10_0010.jpg,2.0,MM,1
Z71A_2019_04_09_2310.jpg,3.0,MM,2
Z71A_2019_04_09_2210.jpg,2.0,MM,1
Z71A_2019_04_09_2110.jpg,2.0,MM,1
Z71A_2019_04_09_2010.jpg,1.0,MM,1
Z71A_2019_04_09_1910.jpg,1.0,MM,1
Z71A_2019_04_09_1810.jpg,1.0,MM,1
Z71A_2019_04_09_1710.jpg,2.0,MM,1
Z71A_2019_04_09_1610.jpg,3.0,MM,2
Z71A_2019_04_09_1510.jpg,2.0,MM,1
Z71A_2019_04_09_1410.jpg,2.0,MM,1
Z71A_2019_04_09_1310.jpg,2.0,MM,1
Z71A_2019_04_09_1210.jpg,3.0,MM,2
Z71A_2019_04_09_1110.jpg,3.0,MM,2
Z71A_2019_04_09_1010.jpg,3.0,MM,2
Z71A_2019_04_09_0910.jpg,3.0,MM,2
Z71A_2019_04_09_0810.jpg,4.0,MM,3
Z71A_2019_04_09_0710.jpg,5.0,MM,3
Z71A_2019_04_09_0610.jpg,6.0,MM,4
Z71A_2019_04_09_0510.jpg,6.0,MM,4
Z71A_2019_04_09_0410.jpg,7.0,MM,4
Z71A_2019_04_09_0310.jpg,7.0,MM,4
Z71A_2019_04_09_0210.jpg,6.0,MM,4
Z71A_2019_04_09_0110.jpg,6.0,MM,4
Z71A_2019_04_09_0010.jpg,8.0,MM,4
Z71A_2019_04_08_2310.jpg,5.0,MM,3
Z71A_2019_04_08_2210.jpg,2.0,MM,1
Z71A_2019_04_08_2110.jpg,6.0,MM,4
Z71A_2019_04_08_2010.jpg,5.0,MM,3
Z71A_2019_04_08_1910.jpg,4.0,MM,3
Z71A_2019_04_08_1800.jpg,4.0,MM,3
Z71A_2019_04_08_1710.jpg,5.0,MM,3
Z71A_2019_04_08_1610.jpg,3.0,MM,2
Z71A_2019_04_08_1510.jpg,4.0,MM,3
Z71A_2019_04_08_1410.jpg,4.0,MM,3
Z71A_2019_04_08_1310.jpg,5.0,MM,3
Z71A_2019_04_08_1210.jpg,4.0,MM,3
Z71A_2019_04_08_1110.jpg,6.0,MM,4
Z71A_2019_04_08_1010.jpg,5.0,MM,3
Z71A_2019_04_08_0910.jpg,5.0,MM,3
Z71A_2019_04_08_0810.jpg,4.0,MM,3
Z71A_2019_04_08_0710.jpg,3.0,MM,2
Z71A_2019_04_08_0610.jpg,5.0,MM,3
Z71A_2019_04_08_0510.jpg,7.0,MM,4
Z71A_2019_04_08_0410.jpg,6.0,MM,4
Z71A_2019_04_08_0310.jpg,5.0,MM,3
Z71A_2019_04_08_0210.jpg,5.0,MM,3
Z71A_2019_04_08_0110.jpg,6.0,MM,4
Z71A_2019_04_08_0010.jpg,7.0,MM,4
Z71A_2019_04_07_2310.jpg,8.0,MM,4
Z71A_2019_04_07_2210.jpg,8.0,MM,4
Z71A_2019_04_07_2110.jpg,8.0,MM,4
Z71A_2019_04_07_2010.jpg,9.0,MM,5
Z71A_2019_04_07_1910.jpg,9.0,MM,5
Z71A_2019_04_07_1810.jpg,9.0,MM,5
Z71A_2019_04_07_1710.jpg,9.0,MM,5
Z71A_2019_04_07_1610.jpg,11.0,MM,5
Z71A_2019_04_07_1510.jpg,11.0,MM,5
Z71A_2019_04_07_1410.jpg,12.0,MM,6
Z04A_2019_04_10_0310.jpg,8.0,MM,4
Z04A_2019_04_10_0210.jpg,6.0,MM,4
Z04A_2019_04_10_0110.jpg,10.0,MM,5
Z04A_2019_04_10_0010.jpg,6.0,MM,4
Z04A_2019_04_09_2310.jpg,5.0,MM,3
Z04A_2019_04_09_2210.jpg,4.0,MM,3
Z04A_2019_04_09_2110.jpg,4.0,MM,3
Z04A_2019_04_09_2010.jpg,4.0,MM,3
Z04A_2019_04_09_1910.jpg,5.0,MM,3
Z04A_2019_04_09_1810.jpg,5.0,MM,3
Z04A_2019_04_09_1710.jpg,5.0,MM,3
Z04A_2019_04_09_1610.jpg,6.0,MM,4
Z04A_2019_04_09_1510.jpg,5.0,MM,3
Z04A_2019_04_09_1410.jpg,5.0,MM,3
Z04A_2019_04_09_1310.jpg,5.0,MM,3
Z04A_2019_04_09_1210.jpg,7.0,MM,4
Z04A_2019_04_09_1110.jpg,7.0,MM,4
Z04A_2019_04_09_1010.jpg,8.0,MM,4
Z04A_2019_04_09_0910.jpg,7.0,MM,4
Z04A_2019_04_09_0810.jpg,7.0,MM,4
Z04A_2019_04_09_0710.jpg,8.0,MM,4
Z04A_2019_04_09_0610.jpg,8.0,MM,4
Z04A_2019_04_09_0510.jpg,8.0,MM,4
Z04A_2019_04_09_0410.jpg,8.0,MM,4
Z04A_2019_04_09_0310.jpg,8.0,MM,4
Z04A_2019_04_09_0210.jpg,7.0,MM,4
Z04A_2019_04_09_0110.jpg,7.0,MM,4
Z04A_2019_04_09_0010.jpg,7.0,MM,4
Z04A_2019_04_08_2310.jpg,7.0,MM,4
Z04A_2019_04_08_2210.jpg,6.0,MM,4
Z04A_2019_04_08_2110.jpg,6.0,MM,4
Z04A_2019_04_08_2010.jpg,6.0,MM,4
Z04A_2019_04_08_1910.jpg,6.0,MM,4
Z04A_2019_04_08_1810.jpg,6.0,MM,4
Z04A_2019_04_08_1710.jpg,6.0,MM,4
Z04A_2019_04_08_1610.jpg,7.0,MM,4
Z04A_2019_04_08_1510.jpg,7.0,MM,4
Z04A_2019_04_08_1410.jpg,7.0,MM,4
Z04A_2019_04_08_1310.jpg,8.0,MM,4
Z04A_2019_04_08_1210.jpg,8.0,MM,4
Z04A_2019_04_08_1110.jpg,8.0,MM,4
Z04A_2019_04_08_1010.jpg,8.0,MM,4
Z04A_2019_04_08_0910.jpg,9.0,MM,5
Z04A_2019_04_08_0810.jpg,9.0,MM,5
Z04A_2019_04_08_0710.jpg,9.0,MM,5
Z04A_2019_04_08_0610.jpg,9.0,MM,5
Z04A_2019_04_08_0500.jpg,8.0,MM,4
Z04A_2019_04_08_0410.jpg,9.0,MM,5
Z04A_2019_04_08_0310.jpg,9.0,MM,5
Z04A_2019_04_08_0210.jpg,9.0,MM,5
Z04A_2019_04_08_0110.jpg,8.0,MM,4
Z04A_2019_04_08_0010.jpg,8.0,MM,4
Z04A_2019_04_07_2310.jpg,8.0,MM,4
Z04A_2019_04_07_2210.jpg,7.0,MM,4
Z04A_2019_04_07_2110.jpg,8.0,MM,4
Z04A_2019_04_07_2010.jpg,8.0,MM,4
Z04A_2019_04_07_1910.jpg,7.0,MM,4
Z04A_2019_04_07_1810.jpg,7.0,MM,4
Z04A_2019_04_07_1710.jpg,7.0,MM,4
Z04A_2019_04_07_1610.jpg,7.0,MM,4
Z04A_2019_04_07_1510.jpg,7.0,MM,4
Z04A_2019_04_07_1410.jpg,6.0,MM,4
Z04A_2019_04_07_1310.jpg,7.0,MM,4
Z04A_2019_04_07_1210.jpg,7.0,MM,4
Z04A_2019_04_07_1110.jpg,7.0,MM,4
Z04A_2019_04_07_1010.jpg,6.0,MM,4
Z04A_2019_04_07_0910.jpg,8.0,MM,4
Z04A_2019_04_07_0810.jpg,9.0,MM,5
Z04A_2019_04_07_0710.jpg,9.0,MM,5
Z04A_2019_04_07_0610.jpg,10.0,MM,5
Z04A_2019_04_07_0450.jpg,9.0,1.7,5
Z64A_2019_04_10_0210.jpg,10.0,MM,5
Z64A_2019_04_10_0110.jpg,7.0,MM,4
Z64A_2019_04_10_0010.jpg,5.0,MM,3
Z64A_2019_04_09_2310.jpg,8.0,MM,4
Z64A_2019_04_09_2210.jpg,9.0,MM,5
Z64A_2019_04_09_2110.jpg,8.0,MM,4
Z64A_2019_04_09_2010.jpg,8.0,MM,4
Z64A_2019_04_09_1910.jpg,7.0,MM,4
Z64A_2019_04_09_1810.jpg,8.0,MM,4
Z64A_2019_04_09_1710.jpg,8.0,MM,4
Z64A_2019_04_09_1610.jpg,8.0,MM,4
Z64A_2019_04_09_1510.jpg,8.0,MM,4
Z64A_2019_04_09_1410.jpg,5.0,MM,3
Z64A_2019_04_09_1310.jpg,5.0,MM,3
Z64A_2019_04_09_1210.jpg,6.0,MM,4
Z64A_2019_04_09_1110.jpg,8.0,MM,4
Z64A_2019_04_09_1010.jpg,8.0,MM,4
Z64A_2019_04_09_0910.jpg,8.0,MM,4
Z64A_2019_04_09_0810.jpg,7.0,MM,4
Z64A_2019_04_09_0710.jpg,9.0,MM,5
Z64A_2019_04_09_0610.jpg,8.0,MM,4
Z64A_2019_04_09_0510.jpg,8.0,MM,4
Z64A_2019_04_09_0410.jpg,8.0,MM,4
Z64A_2019_04_09_0310.jpg,8.0,MM,4
Z64A_2019_04_09_0210.jpg,8.0,MM,4
Z64A_2019_04_09_0110.jpg,9.0,MM,5
Z64A_2019_04_09_0010.jpg,9.0,MM,5
Z64A_2019_04_08_2310.jpg,2.0,MM,1
Z64A_2019_04_08_2210.jpg,3.0,MM,2
Z64A_2019_04_08_2110.jpg,5.0,MM,3
Z64A_2019_04_08_2010.jpg,5.0,MM,3
Z64A_2019_04_08_1910.jpg,8.0,MM,4
Z64A_2019_04_08_1810.jpg,6.0,MM,4
Z64A_2019_04_08_1710.jpg,8.0,MM,4
Z64A_2019_04_08_1610.jpg,6.0,MM,4
Z64A_2019_04_08_1510.jpg,7.0,MM,4
Z64A_2019_04_08_1410.jpg,5.0,MM,3
Z64A_2019_04_08_1310.jpg,5.0,MM,3
Z64A_2019_04_08_1210.jpg,4.0,MM,3
Z64A_2019_04_08_1110.jpg,2.0,MM,1
Z64A_2019_04_08_1010.jpg,1.0,MM,1
Z64A_2019_04_08_0910.jpg,2.0,MM,1
Z64A_2019_04_08_0810.jpg,4.0,MM,3
Z64A_2019_04_08_0710.jpg,4.0,MM,3
Z64A_2019_04_08_0610.jpg,5.0,MM,3
Z64A_2019_04_08_0510.jpg,4.0,MM,3
Z64A_2019_04_08_0410.jpg,6.0,MM,4
Z64A_2019_04_08_0310.jpg,6.0,MM,4
Z64A_2019_04_08_0210.jpg,4.0,MM,3
Z64A_2019_04_08_0110.jpg,5.0,MM,3
Z64A_2019_04_08_0010.jpg,6.0,MM,4
Z64A_2019_04_07_2310.jpg,5.0,MM,3
Z64A_2019_04_07_2210.jpg,6.0,MM,4
Z64A_2019_04_07_2110.jpg,5.0,MM,3
Z64A_2019_04_07_2010.jpg,5.0,MM,3
Z64A_2019_04_07_1910.jpg,6.0,MM,4
Z64A_2019_04_07_1810.jpg,5.0,MM,3
Z64A_2019_04_07_1710.jpg,5.0,MM,3
Z64A_2019_04_07_1610.jpg,4.0,MM,3
Z64A_2019_04_07_1510.jpg,3.0,MM,2
Z64A_2019_04_07_1410.jpg,2.0,MM,1
Z64A_2019_04_07_1310.jpg,1.0,MM,1
Z64A_2019_04_07_1210.jpg,1.0,MM,1
Z64A_2019_04_07_1110.jpg,1.0,MM,1
Z64A_2019_04_07_1010.jpg,1.0,MM,1
Z64A_2019_04_07_0910.jpg,2.0,MM,1
Z64A_2019_04_07_0810.jpg,1.0,MM,1
Z64A_2019_04_07_0710.jpg,3.0,MM,2
Z64A_2019_04_07_0610.jpg,3.0,MM,2
Z64A_2019_04_07_0510.jpg,2.0,MM,1
Z25A_2019_04_10_0300.jpg,5.0,MM,3
Z25A_2019_04_10_0210.jpg,5.0,MM,3
Z25A_2019_04_10_0110.jpg,6.0,MM,4
Z25A_2019_04_10_0010.jpg,4.0,MM,3
Z25A_2019_04_09_2310.jpg,2.0,MM,1
Z25A_2019_04_09_2210.jpg,3.0,MM,2
Z25A_2019_04_09_2110.jpg,7.0,MM,4
Z25A_2019_04_09_2010.jpg,6.0,MM,4
Z25A_2019_04_09_1910.jpg,5.0,MM,3
Z25A_2019_04_09_1810.jpg,6.0,MM,4
Z25A_2019_04_09_1710.jpg,6.0,MM,4
Z25A_2019_04_09_1610.jpg,7.0,MM,4
